"","date","TotalDailyConsumption","TotalHH","DailyLPCD"
"499",2017-07-06,123881,949,130.538461538462
"500",2017-07-07,127211,949,134.04741833509
"501",2017-07-08,136278,949,143.601685985248
"502",2017-07-09,137762,949,145.165437302424
"503",2017-07-10,128073,949,134.95574288725
"504",2017-07-11,123083,949,129.697576396207
"505",2017-07-12,126279,949,133.065331928346
"506",2017-07-13,123070,949,129.68387776607
"507",2017-07-14,121470,949,127.99789251844
"508",2017-07-15,133531,949,140.707060063224
"509",2017-07-16,138025,949,145.442571127503
"510",2017-07-17,127557,949,134.412012644889
"511",2017-07-18,127189,949,134.024236037935
"512",2017-07-19,128412,949,135.312961011591
"513",2017-07-20,124076,949,130.743940990516
"514",2017-07-21,130421,949,137.429926238145
"515",2017-07-22,139049,949,146.521601685985
"516",2017-07-23,137387,949,144.770284510011
"517",2017-07-24,129754,949,136.72708113804
"518",2017-07-25,128199,949,135.088514225501
"519",2017-07-26,121035,949,127.539515279241
"520",2017-07-27,121925,949,128.477344573235
"521",2017-07-28,123021,949,129.632244467861
"522",2017-07-29,135863,949,143.164383561644
"523",2017-07-30,140981,949,148.557428872497
"524",2017-07-31,129843,949,136.820864067439
"525",2017-08-01,130283,949,137.284510010537
"526",2017-08-02,124546,949,131.239199157007
"527",2017-08-03,124178,949,130.851422550053
"528",2017-08-04,122471,949,129.052687038988
"529",2017-08-05,135769,949,143.065331928346
"530",2017-08-06,140207,949,147.741833508957
"531",2017-08-07,127567,949,134.422550052687
"532",2017-08-08,124387,949,131.071654373024
"533",2017-08-09,128899,949,135.826132771338
"534",2017-08-10,126989,949,133.813487881981
"535",2017-08-11,119082,949,125.481559536354
"536",2017-08-12,128840,949,135.763962065332
"537",2017-08-13,132118,949,139.218124341412
"538",2017-08-14,128080,949,134.963119072708
"539",2017-08-15,126820,949,133.6354056902
"540",2017-08-16,124178,949,130.851422550053
"541",2017-08-17,121967,949,128.521601685985
"542",2017-08-18,123379,949,130.009483667018
"543",2017-08-19,134143,949,141.351949420443
"544",2017-08-20,128885,949,135.811380400421
"545",2017-08-21,122855,945,130.005291005291
"546",2017-08-22,123546,945,130.736507936508
"547",2017-08-23,135488,949,142.769230769231
"548",2017-08-24,113073,949,119.149631190727
"549",2017-08-25,127783,949,134.650158061117
"550",2017-08-26,132974,949,140.120126448894
"551",2017-08-27,137049,949,144.414120126449
"552",2017-08-28,124415,949,131.101159114858
"553",2017-08-29,118729,949,125.109589041096
"554",2017-08-30,123559,949,130.199157007376
"555",2017-08-31,119980,949,126.427818756586
"556",2017-09-01,129613,949,136.578503688093
"557",2017-09-02,125678,949,132.432033719705
"558",2017-09-03,126318,949,133.106427818757
"559",2017-09-04,123383,949,130.013698630137
"560",2017-09-05,125588,949,132.337197049526
"561",2017-09-06,118007,949,124.348788198103
"562",2017-09-07,125456,949,132.198103266596
"563",2017-09-08,116283,949,122.532139093783
"564",2017-09-09,137415,949,144.799789251844
"565",2017-09-10,132579,949,139.703898840885
"566",2017-09-11,116439,949,122.696522655427
"567",2017-09-12,123922,949,130.581664910432
"568",2017-09-13,121345,949,127.866174920969
"569",2017-09-14,119615,949,126.04320337197
"570",2017-09-15,122710,949,129.304531085353
"571",2017-09-16,133158,949,140.314014752371
"572",2017-09-17,141272,949,148.86406743941
"573",2017-09-18,124847,949,131.556375131718
"574",2017-09-19,121863,949,128.412012644889
"575",2017-09-20,122554,949,129.140147523709
"576",2017-09-21,119509,949,125.931506849315
"577",2017-09-22,119308,949,125.719704952582
"578",2017-09-23,134321,949,141.539515279241
"579",2017-09-24,136246,949,143.567966280295
"580",2017-09-25,129236,949,136.18124341412
"581",2017-09-26,124425,949,131.111696522655
"582",2017-09-27,123208,949,129.829293993678
"583",2017-09-28,120265,949,126.72813487882
"584",2017-09-29,118438,949,124.802950474183
"585",2017-09-30,128038,949,134.918861959958
"586",2017-10-01,132540,949,139.662802950474
"587",2017-10-02,128018,949,134.897787144362
"588",2017-10-03,127304,949,134.145416227608
"589",2017-10-04,121766,949,128.309799789252
"590",2017-10-05,124852,949,131.561643835616
"591",2017-10-06,121908,949,128.459430979979
"592",2017-10-07,133512,949,140.687038988409
"593",2017-10-08,134634,949,141.869336143309
"594",2017-10-09,125800,949,132.560590094837
"595",2017-10-10,121392,949,127.915700737619
"596",2017-10-11,121146,949,127.656480505796
"597",2017-10-12,118397,949,124.759747102213
"598",2017-10-13,120909,949,127.406743940991
"599",2017-10-14,129521,949,136.481559536354
"600",2017-10-15,134836,949,142.082191780822
"601",2017-10-16,124987,949,131.703898840885
"602",2017-10-17,121320,949,127.839831401475
"603",2017-10-18,133243,949,140.403582718651
"604",2017-10-19,122398,949,128.975763962065
"605",2017-10-20,116394,949,122.649104320337
"606",2017-10-21,134606,949,141.839831401475
"607",2017-10-22,134901,949,142.150684931507
"608",2017-10-23,122429,949,129.008429926238
"609",2017-10-24,121386,949,127.90937829294
"610",2017-10-25,121496,949,128.025289778714
"611",2017-10-26,117194,949,123.492096944152
"612",2017-10-27,116477,949,122.736564805058
"613",2017-10-28,127136,949,133.968387776607
"614",2017-10-29,130898,949,137.932560590095
