"id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
8,"S03",39,"AVAILABLE",NA,2017-04-10,2017-07-10,2017-04-11 15:37:37,2017-04-11 15:37:37,NA
12,"S03",158,"AVAILABLE",NA,2017-04-10,2017-07-10,2017-04-11 15:37:37,2017-04-11 15:37:37,NA
15,"S03",155,"AVAILABLE",NA,2017-04-10,2017-07-10,2017-04-11 15:37:37,2017-04-11 15:37:37,NA
23,"S03",454,"AVAILABLE",NA,2017-04-10,2017-07-10,2017-04-11 15:37:37,2017-04-11 15:37:37,NA
47,"S03",456,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
48,"S03",240,"FAILED",NA,2017-05-01,2017-08-01,2017-05-08 15:00:03,2017-05-01 15:00:02,NA
33,"S04",37,"AVAILABLE",NA,2017-04-21,2017-07-21,2017-04-21 15:00:03,2017-04-21 15:00:03,NA
19,"S03",31,"FAILED",NA,2017-04-10,2017-07-10,2017-04-23 15:00:08,2017-04-11 15:37:37,NA
32,"S04",231,"FAILED",NA,2017-04-20,2017-07-20,2017-04-28 15:00:03,2017-04-20 15:00:04,NA
7,"S03",537,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
11,"S03",1774,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
14,"S03",1773,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
21,"S03",548,"FAILED",NA,2017-04-10,2017-07-10,2017-05-01 15:00:02,2017-04-11 15:37:37,NA
49,"S03",252,"AVAILABLE",NA,2017-05-01,2017-08-01,2017-05-01 15:00:02,2017-05-01 15:00:02,NA
52,"S04",117,"AVAILABLE",NA,2017-05-04,2017-08-04,2017-05-04 15:00:16,2017-05-04 15:00:16,NA
16,"S03",351,"FAILED",NA,2017-04-10,2017-07-10,2017-05-08 15:00:03,2017-04-11 15:37:37,NA
18,"S03",370,"FAILED",NA,2017-04-10,2017-07-10,2017-05-08 15:00:03,2017-04-11 15:37:37,NA
25,"S03",505,"FAILED",NA,2017-04-10,2017-07-10,2017-05-08 15:00:03,2017-04-11 15:37:37,NA
